Implementation,Size,Distribution,Threads,BlockSize,AvgTime(ms)
Serial,1000000,uniform,1,256,95.0133
Serial,4000000,uniform,1,256,350.4731
Serial,16000000,uniform,1,256,1702.5582
Serial,64000000,uniform,1,256,7148.5895
Serial,1000000,gaussian,1,256,79.8319
Serial,4000000,gaussian,1,256,358.4556
Serial,16000000,gaussian,1,256,1565.3351
Serial,64000000,gaussian,1,256,6364.3668
Serial,1000000,nearly_sorted,1,256,12.2804
Serial,4000000,nearly_sorted,1,256,73.9495
Serial,16000000,nearly_sorted,1,256,394.3067
Serial,64000000,nearly_sorted,1,256,1119.6289
Serial,1000000,reversed,1,256,7.6817
Serial,4000000,reversed,1,256,38.4690
Serial,16000000,reversed,1,256,164.8489
Serial,64000000,reversed,1,256,860.1496
OpenMP,1000000,uniform,1,256,86.0994
OpenMP,1000000,uniform,2,256,58.9264
OpenMP,1000000,uniform,4,256,63.0974
OpenMP,1000000,uniform,8,256,59.5041
OpenMP,1000000,uniform,16,256,63.8577
OpenMP,4000000,uniform,1,256,389.2234
OpenMP,4000000,uniform,2,256,268.3581
OpenMP,4000000,uniform,4,256,427.3406
OpenMP,4000000,uniform,8,256,289.4912
OpenMP,4000000,uniform,16,256,268.6165
OpenMP,16000000,uniform,1,256,1835.8185
OpenMP,16000000,uniform,2,256,1187.2503
OpenMP,16000000,uniform,4,256,1318.9306
OpenMP,16000000,uniform,8,256,1405.7072
OpenMP,16000000,uniform,16,256,1192.2524
OpenMP,64000000,uniform,1,256,7887.4169
OpenMP,64000000,uniform,2,256,5559.7988
OpenMP,64000000,uniform,4,256,5713.8480
OpenMP,64000000,uniform,8,256,5786.5357
OpenMP,64000000,uniform,16,256,5679.1806
OpenMP,1000000,gaussian,1,256,112.7593
OpenMP,1000000,gaussian,2,256,96.8191
OpenMP,1000000,gaussian,4,256,92.7559
OpenMP,1000000,gaussian,8,256,60.2136
OpenMP,1000000,gaussian,16,256,63.3992
OpenMP,4000000,gaussian,1,256,386.9021
OpenMP,4000000,gaussian,2,256,269.4180
OpenMP,4000000,gaussian,4,256,272.3980
OpenMP,4000000,gaussian,8,256,264.4991
OpenMP,4000000,gaussian,16,256,348.6150
OpenMP,16000000,gaussian,1,256,1710.9501
OpenMP,16000000,gaussian,2,256,1243.4860
OpenMP,16000000,gaussian,4,256,1408.9468
OpenMP,16000000,gaussian,8,256,1183.2935
OpenMP,16000000,gaussian,16,256,1291.9322
OpenMP,64000000,gaussian,1,256,7553.3037
OpenMP,64000000,gaussian,2,256,5348.0907
OpenMP,64000000,gaussian,4,256,5533.7081
OpenMP,64000000,gaussian,8,256,5397.7851
OpenMP,64000000,gaussian,16,256,5375.3541
OpenMP,1000000,nearly_sorted,1,256,41.8998
OpenMP,1000000,nearly_sorted,2,256,32.8507
OpenMP,1000000,nearly_sorted,4,256,31.6520
OpenMP,1000000,nearly_sorted,8,256,31.8879
OpenMP,1000000,nearly_sorted,16,256,31.7243
OpenMP,4000000,nearly_sorted,1,256,171.2930
OpenMP,4000000,nearly_sorted,2,256,145.7302
OpenMP,4000000,nearly_sorted,4,256,137.1373
OpenMP,4000000,nearly_sorted,8,256,137.2626
OpenMP,4000000,nearly_sorted,16,256,136.2962
OpenMP,16000000,nearly_sorted,1,256,825.5398
OpenMP,16000000,nearly_sorted,2,256,686.6780
OpenMP,16000000,nearly_sorted,4,256,621.7683
OpenMP,16000000,nearly_sorted,8,256,616.8341
OpenMP,16000000,nearly_sorted,16,256,835.7524
OpenMP,64000000,nearly_sorted,1,256,3377.6442
OpenMP,64000000,nearly_sorted,2,256,2939.5560
OpenMP,64000000,nearly_sorted,4,256,2818.8908
OpenMP,64000000,nearly_sorted,8,256,2815.9597
OpenMP,64000000,nearly_sorted,16,256,2879.8765
OpenMP,1000000,reversed,1,256,10.6556
OpenMP,1000000,reversed,2,256,10.4670
OpenMP,1000000,reversed,4,256,10.1368
OpenMP,1000000,reversed,8,256,10.3837
OpenMP,1000000,reversed,16,256,10.8608
OpenMP,4000000,reversed,1,256,55.4120
OpenMP,4000000,reversed,2,256,50.3534
OpenMP,4000000,reversed,4,256,49.7822
OpenMP,4000000,reversed,8,256,53.2513
OpenMP,4000000,reversed,16,256,84.8006
OpenMP,16000000,reversed,1,256,395.0840
OpenMP,16000000,reversed,2,256,267.3634
OpenMP,16000000,reversed,4,256,270.3718
OpenMP,16000000,reversed,8,256,270.9940
OpenMP,16000000,reversed,16,256,280.1250
OpenMP,64000000,reversed,1,256,1483.4028
OpenMP,64000000,reversed,2,256,1342.6980
OpenMP,64000000,reversed,4,256,1239.2340
OpenMP,64000000,reversed,8,256,1464.4806
OpenMP,64000000,reversed,16,256,1339.1636
CUDA,1000000,uniform,1,128,100.4448
CUDA,1000000,uniform,1,256,58.1116
CUDA,1000000,uniform,1,512,48.9479
CUDA,4000000,uniform,1,128,79.8614
CUDA,4000000,uniform,1,256,72.1186
CUDA,4000000,uniform,1,512,70.1584
CUDA,16000000,uniform,1,128,250.0248
CUDA,16000000,uniform,1,256,245.7942
CUDA,16000000,uniform,1,512,257.6529
CUDA,64000000,uniform,1,128,971.8597
CUDA,64000000,uniform,1,256,963.5993
CUDA,64000000,uniform,1,512,971.3902
CUDA,1000000,gaussian,1,128,36.8761
CUDA,1000000,gaussian,1,256,38.1090
CUDA,1000000,gaussian,1,512,36.9817
CUDA,4000000,gaussian,1,128,76.4626
CUDA,4000000,gaussian,1,256,76.7162
CUDA,4000000,gaussian,1,512,74.9045
CUDA,16000000,gaussian,1,128,252.3453
CUDA,16000000,gaussian,1,256,248.0515
CUDA,16000000,gaussian,1,512,246.8394
CUDA,64000000,gaussian,1,128,952.3981
CUDA,64000000,gaussian,1,256,941.4777
CUDA,64000000,gaussian,1,512,932.1546
CUDA,1000000,nearly_sorted,1,128,37.1201
CUDA,1000000,nearly_sorted,1,256,38.0349
CUDA,1000000,nearly_sorted,1,512,36.5371
CUDA,4000000,nearly_sorted,1,128,70.4572
CUDA,4000000,nearly_sorted,1,256,70.0362
CUDA,4000000,nearly_sorted,1,512,75.9362
CUDA,16000000,nearly_sorted,1,128,250.9229
CUDA,16000000,nearly_sorted,1,256,226.0567
CUDA,16000000,nearly_sorted,1,512,224.0216
CUDA,64000000,nearly_sorted,1,128,912.4057
CUDA,64000000,nearly_sorted,1,256,912.0862
CUDA,64000000,nearly_sorted,1,512,924.3871
CUDA,1000000,reversed,1,128,46.6295
CUDA,1000000,reversed,1,256,43.6032
CUDA,1000000,reversed,1,512,37.3813
CUDA,4000000,reversed,1,128,70.6217
CUDA,4000000,reversed,1,256,69.1412
CUDA,4000000,reversed,1,512,69.0163
CUDA,16000000,reversed,1,128,220.1858
CUDA,16000000,reversed,1,256,220.3502
CUDA,16000000,reversed,1,512,216.9390
CUDA,64000000,reversed,1,128,898.9618
CUDA,64000000,reversed,1,256,866.1705
CUDA,64000000,reversed,1,512,885.4061
